Landing - Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampung TEST - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of 19/09/2019 13:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_date_time,monitor,vessel,fishing_effort,days_per_trip,location,area,area_2,area_3,gear_method,gear_count,net_pieces_per_unit,total_length,net_height,mesh_size,soak_time,water_depth,bait_fish_species_1,bait_fish_species_2,bait_fish_species_3,bait_fish_weight,personal_use_weight,ice_weight,weight,pieces,comments,create_date_time,created_by,update_date_time,updated_by,submit_date_time,validated,validation_date_time,validated_by,validation_comments,id
9/6/2019 13:00,Arbi Monitor,MGM - P1,1,1,MGM,184,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,3.4,,,9/11/2019 9:00,Arbi Monitor,9/11/2019 9:00,Arbi Monitor,9/11/2019 17:24,FALSE,,,,58e52200-eebe-4cce-81e5-e3cb3dc7e4b0
9/6/2019 13:00,Yadi Monitor,MGM - D1,1,1,MGM,196,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,0.8,1,,9/11/2019 9:16,Yadi Monitor,9/11/2019 9:16,Yadi Monitor,9/11/2019 17:24,FALSE,,,,400045d0-e02e-412f-80e0-8e6732778bb9
9/6/2019 10:01,Yadi Monitor,MGM - M,1,1,MGM,183,,,Gill Net,1kambangan,11,2200,1,3.5,12,7,,,,,,,1.2,,,9/6/2019 10:01,Yadi Monitor,9/6/2019 10:03,Yadi Monitor,9/11/2019 17:23,FALSE,,,,8bf1ae11-100f-49a0-876d-f67e44ed783e
9/6/2019 9:55,Arbi Monitor,MGM - O,1,1,MGM,184,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,2.2,10,,9/6/2019 9:55,Arbi Monitor,9/6/2019 9:56,Arbi Monitor,9/11/2019 17:23,FALSE,,,,b2f5453c-9ac1-4030-999c-a42634c6c97f
9/5/2019 13:00,Arbi Monitor,MGM - D1,1,1,MGM,195,,,Gill Net,1,15,3000,1,"3,5",12,7,,,,,,,0.4,1,,9/6/2019 9:21,Arbi Monitor,9/6/2019 9:21,Arbi Monitor,9/11/2019 17:23,FALSE,,,,314bf994-fa01-4a7f-9b45-e889b8e5790e
9/4/2019 13:00,Yadi Monitor,MGM - D1,1,1,MGM,196,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,1.6,1,,9/6/2019 9:54,Yadi Monitor,9/6/2019 9:55,Yadi Monitor,9/11/2019 17:23,FALSE,,,,3ab835b6-12e1-4c21-963f-db6aaba759c4
9/4/2019 13:00,Arbi Monitor,MGM - H,1,1,MGM,184,,,Gill Net,1,11,2200,1,"3,5",12,7,,,,,,,4.5,6,,9/6/2019 9:19,Arbi Monitor,9/6/2019 9:20,Arbi Monitor,9/11/2019 17:23,FALSE,,,,3edb0bf4-69d8-4638-b550-edd1aebd7e6d
9/3/2019 13:00,Arbi Monitor,MGM - O,1,1,MGM,196,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,2.8,5,,9/6/2019 9:17,Arbi Monitor,9/6/2019 9:18,Arbi Monitor,9/11/2019 17:23,FALSE,,,,3bd33c1c-28ad-4729-aee5-39f5d28f2062
9/3/2019 13:00,Arbi Monitor,MGM - D1,1,1,MGM,195,,,Gill Net,1,15,3000,1,"3,5",12,7,,,,,,,1.2,1,,9/6/2019 9:16,Arbi Monitor,9/6/2019 9:16,Arbi Monitor,9/11/2019 17:23,FALSE,,,,580e4578-4847-475b-9bca-857b7038a6fa
9/3/2019 13:00,Yadi Monitor,MGM - U,1,1,MGM,184,,,Gill Net,1kambangan,13,2600,1,3.5,12,7,,,,,,,2.5,3,,9/6/2019 9:47,Yadi Monitor,9/6/2019 9:48,Yadi Monitor,9/11/2019 17:23,FALSE,,,,b237c87a-7af7-4f20-ace9-3e8d980a59df
9/2/2019 13:00,Yadi Monitor,MGM - D1,1,1,MGM,195,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,1.8,8,,9/6/2019 9:39,Yadi Monitor,9/6/2019 9:40,Yadi Monitor,9/11/2019 17:23,FALSE,,,,0a47d8ff-85f1-4ae1-826a-18765d7e1c11
9/1/2019 13:00,Arbi Monitor,MGM - T,1,1,MGM,184,,,Gill Net,1,11,2200,1,"3,5",12,7,,,,,,,3.8,3,,9/6/2019 9:12,Arbi Monitor,9/6/2019 9:12,Arbi Monitor,9/11/2019 17:23,FALSE,,,,da10f247-26b0-4572-ae2c-cf0d0d2854d1
9/1/2019 13:00,Yadi Monitor,MGM - D1,1,1,MGM,195,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,1.7,,,9/6/2019 9:32,Yadi Monitor,9/6/2019 9:32,Yadi Monitor,9/11/2019 17:23,FALSE,,,,930834cb-bfdb-424a-bb48-0a0db7a060dc
8/31/2019 13:00,Arbi Monitor,MGM - O,1,1,MGM,183,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,3.6,15,,9/6/2019 9:10,Arbi Monitor,9/6/2019 9:10,Arbi Monitor,9/11/2019 17:23,FALSE,,,,ddcc7939-a494-4055-9849-19ca194ba9d0
8/31/2019 13:00,Yadi Monitor,MGM - L,1,1,MGM,184,,,Gill Net,1kambangan,14,2800,1,3.5,12,7,,,,,,,2.5,5,,9/6/2019 9:23,Yadi Monitor,9/6/2019 9:25,Yadi Monitor,9/11/2019 17:23,FALSE,,,,1b9e8250-46fd-459f-a142-07bc0b3189b1
8/31/2019 9:50,Yadi Monitor,MGM - D1,1,1,MGM,184,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,2,10,,8/31/2019 9:50,Yadi Monitor,8/31/2019 9:51,Yadi Monitor,9/11/2019 17:23,FALSE,,,,dfadbfc9-2888-410f-b9cb-6bdaf001b10e
