Biology Sample - Details,,,,,,,,,,,,,,,,,,,,,,,,
Lampung TEST - 2019,,,,,,,,,,,,,,,,,,,,,,,,
As of 19/09/2019 13:10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
sample_date_time,monitor,vessel,location,first_receiver,species,scientific_name,code,berried_type,carapace_width,gonad_maturity_type,sex_type,weight,comments,create_date_time,created_by,update_date_time,updated_by,submit_date_time,validated,validation_date_time,validated_by,validation_comments,id,measurement_id
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,9.1,Not applicable,Male,52,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,038c94a7-9dc1-40ff-a4a7-04b135bf59de
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"9,1",Not applicable,Male,52,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,6105b4da-d608-46aa-864f-7ece3b8ce763
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"15,5",Not applicable,Male,324,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,db6a7def-9ed3-42a0-b8da-cb6809ad12f1
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,11.4,Unknown,Female,87,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,1a29c0ba-5d9c-47f9-98ac-b194d8613c3f
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,9,Immature,Female,48,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,46ccd737-38c1-46bc-870d-9aa24039193e
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,10.6,Unknown,Female,74,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,00f91438-1046-4e95-9299-851f37c7f153
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,14,Not applicable,Male,224,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,983a0f24-c67b-42ad-85a8-09638c84554d
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"11,4",Mature,Female,87,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,c6f62d2e-0d57-4921-bec2-efee81eaebff
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"12,8",Mature,Female,136,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,582dee6f-4586-471c-aa89-f9764941bfc6
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,11.4,Not applicable,Male,86,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,893d8c2a-ecc2-407e-9726-991661f94ff4
